sentence_text,gold_tokens,pred_tokens,false_positives
"seni fakir , soluk bir dekor içinde görmek istemem .","seni fakir , soluk bir dekor içinde görmek istemem .","seni fakir , soluk bir_dekor içinde görmek istemem .",bir_dekor
az ilerideki burunda bütün heybetiyle bir deniz feneri görünüyordu .,az ilerideki burunda bütün heybetiyle bir deniz feneri görünüyordu .,az ilerideki burunda bütün heybetiyle bir_deniz feneri görünüyordu .,bir_deniz
"gülistan ne kadar şık , belinde fiyonk olan eflatun bir elbise giymiş .","gülistan ne kadar şık , belinde fiyonk olan eflatun bir elbise giymiş .","gülistan ne_kadar şık , belinde fiyonk olan eflatun bir_elbise giymiş .","bir_elbise, ne_kadar"
ateşin üzerinde tüm malzemeler hep bir ağızdan fokurduyordu ama her biri kendi dilinde .,ateşin üzerinde tüm malzemeler hep bir_ağızdan fokurduyordu ama her biri kendi dilinde .,ateşin üzerinde tüm malzemeler hep_bir_ağızdan fokurduyordu ama her_biri kendi dilinde .,"hep_bir_ağızdan, her_biri"
radyum gazışıl bir elementtir .,radyum gazışıl bir elementtir .,radyum gazışıl bir_elementtir .,bir_elementtir
"viyana'da en büyük caddelerde gece uçuşuna çıkan manga manga , bölük bölük kadınlara rastladık .","viyana'da en büyük caddelerde gece_uçuşuna çıkan manga manga , bölük bölük kadınlara rastladık .","viyana'da en büyük caddelerde gece_uçuşuna çıkan manga manga , bölük_bölük kadınlara rastladık .",bölük_bölük
paris'te uzun yıllar yaşamalarına karşın ülkeleriyle olan göbek bağını hiç mi hiç gevşetmemiş gençler var .,paris'te uzun yıllar yaşamalarına karşın ülkeleriyle olan göbek_bağını hiç mi hiç gevşetmemiş gençler var .,paris'te uzun yıllar yaşamalarına karşın ülkeleriyle olan göbek_bağını hiç_mi_hiç gevşetmemiş gençler var .,hiç_mi_hiç
bence sen bu gözlemcilik işini bırakıp bir tavuk çiftliği kurmalısın .,bence sen bu gözlemcilik işini bırakıp bir tavuk çiftliği kurmalısın .,bence sen bu_gözlemcilik işini bırakıp bir tavuk çiftliği kurmalısın .,bu_gözlemcilik
bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir_delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir_delikanlıyla
bakanlar kurulunun programı türkiye büyük millet meclisinde okunur ve güvenoyuna başvurulur .,bakanlar kurulunun programı türkiye büyük millet_meclisinde okunur ve güvenoyuna başvurulur .,bakanlar_kurulunun programı türkiye büyük millet_meclisinde okunur ve güvenoyuna başvurulur .,bakanlar_kurulunun
bakanlar kurulunun programı türkiye büyük millet meclisinde okunur ve güvenoyuna başvurulur .,bakanlar_kurulunun programı türkiye büyük millet meclisinde okunur ve güvenoyuna başvurulur .,bakanlar_kurulunun programı türkiye büyük millet_meclisinde okunur ve güvenoyuna başvurulur .,millet_meclisinde
müslüman araplar arasında bir arap halifeliği hükûmeti peşinde olanlar vardı .,müslüman araplar arasında bir arap halifeliği hükûmeti peşinde olanlar vardı .,müslüman araplar arasında bir_arap halifeliği hükûmeti peşinde olanlar vardı .,bir_arap
bir delilik yaptı ve otobüsteki kız uğruna arzu'yu harcadı .,bir delilik yaptı ve otobüsteki kız uğruna arzu'yu harcadı .,bir_delilik yaptı ve otobüsteki kız uğruna arzu'yu harcadı .,bir_delilik
i̇ç kapının perdesi yanlara doğru açıldı .,i̇ç kapının perdesi yanlara doğru açıldı .,i ç kapının perdesi yanlara doğru_açıldı .,doğru_açıldı
"belli bir seviye çizgisinde düşünmeye alışık beyinler , ikide bir düz ayak , yavan konuklarla durmadan işgal edilirse iç dengeleri bozulur .","belli bir seviye çizgisinde düşünmeye alışık beyinler , ikide bir düz ayak , yavan konuklarla durmadan işgal edilirse iç_dengeleri bozulur .","belli bir seviye çizgisinde düşünmeye alışık beyinler , ikide_bir düz_ayak , yavan konuklarla durmadan işgal edilirse iç_dengeleri bozulur .","ikide_bir, düz_ayak"
"korkuya , hiç değilse çekintiye benzeyen bir şey de getiriyordu .","korkuya , hiç değilse çekintiye benzeyen bir şey de getiriyordu .","korkuya , hiç_değilse çekintiye benzeyen bir şey de getiriyordu .",hiç_değilse
"avrupa görmüş , incelmiş bir delikanlıya kızların nasıl içi gitmesin .","avrupa görmüş , incelmiş bir delikanlıya kızların nasıl içi gitmesin .","avrupa görmüş , incelmiş bir_delikanlıya kızların nasıl içi gitmesin .",bir_delikanlıya
"altın çizgili , yemyeşil ipek kravatı ne olursa olsun almalıydı .","altın çizgili , yemyeşil ipek kravatı ne olursa olsun almalıydı .","altın çizgili , yemyeşil ipek kravatı ne_olursa_olsun almalıydı .",ne_olursa_olsun
"çoktandır , ipsiz sapsızlarla düşe kalka onların dilini kapmışım .","çoktandır , ipsiz_sapsızlarla düşe kalka onların dilini kapmışım .","çoktandır , ipsiz_sapsızlarla düşe_kalka onların dilini kapmışım .",düşe_kalka
"böyle bir değerlendirme , yerel seçimlerin halk istencini daha iyi gösterdiği sonucunu ortaya çıkarır .","böyle bir değerlendirme , yerel seçimlerin halk istencini daha iyi gösterdiği sonucunu ortaya çıkarır .","böyle bir_değerlendirme , yerel seçimlerin halk istencini daha iyi gösterdiği sonucunu ortaya çıkarır .",bir_değerlendirme
"devri nüfuz tüccarlığı yüzünden alabildiğine soysuzlaşmış , sonunda tam bir despotluk rejimi olmuştur .","devri nüfuz tüccarlığı yüzünden alabildiğine soysuzlaşmış , sonunda tam bir despotluk rejimi olmuştur .","devri nüfuz tüccarlığı yüzünden alabildiğine soysuzlaşmış , sonunda tam bir_despotluk rejimi olmuştur .",bir_despotluk
"uzunca bir arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu .","uzunca bir arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu .","uzunca bir_arabaya lekeli şilteler , kirli yastıklar yığılıyordu , istif tekmil olmuştu .",bir_arabaya
bir ara yıldız'ın istihbarat servisinde bulunduğu bile söylenirdi .,bir ara yıldız'ın istihbarat_servisinde bulunduğu bile söylenirdi .,bir_ara yıldız'ın istihbarat_servisinde bulunduğu bile söylenirdi .,bir_ara
i̇şte bu iki adam bir aralık göz göze geldiler .,i̇şte bu iki adam bir_aralık göz göze geldiler .,i şte bu iki adam bir_aralık göz_göze geldiler .,göz_göze
i̇şte bu iki adam bir aralık göz göze geldiler .,i̇şte bu iki adam bir aralık göz_göze geldiler .,i şte bu iki adam bir_aralık göz_göze geldiler .,bir_aralık
"bazı kadın yazarlarsa her şeyi göze alıp itirafçı , iç dünyalarını açıklayıcı bir yol seçerler .","bazı kadın yazarlarsa her şeyi göze alıp itirafçı , iç_dünyalarını açıklayıcı bir yol seçerler .","bazı kadın yazarlarsa her şeyi göze alıp itirafçı , iç_dünyalarını açıklayıcı bir_yol seçerler .",bir_yol
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .","i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz_karasıydılar .","i hsan bekleyen bu çanak_yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz_karasıydılar .",çanak_yalayıcı
"kaba sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .","kaba sofular bir_zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .","kaba_sofular bir_zamanlar uygarlık düşmanlığını , yabancı_dil düşmanlığı ile birleştirmişlerdi .","yabancı_dil, kaba_sofular"
"kaba sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .","kaba_sofular bir zamanlar uygarlık düşmanlığını , yabancı dil düşmanlığı ile birleştirmişlerdi .","kaba_sofular bir_zamanlar uygarlık düşmanlığını , yabancı_dil düşmanlığı ile birleştirmişlerdi .","bir_zamanlar, yabancı_dil"
asıl dostluğumuz bu üç dört saatlik kadeh arkadaşlığından sonra başlamıştı .,asıl dostluğumuz bu üç dört saatlik kadeh_arkadaşlığından sonra başlamıştı .,asıl dostluğumuz bu üç_dört saatlik kadeh_arkadaşlığından sonra başlamıştı .,üç_dört
kadın ticaretinin bu kadar serbestçe yapıldığı bir yer daha bulmak mümkün değildi .,kadın_ticaretinin bu kadar serbestçe yapıldığı bir yer daha bulmak mümkün değildi .,kadın_ticaretinin bu_kadar serbestçe yapıldığı bir yer daha bulmak mümkün değildi .,bu_kadar
"bir kafa işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır .","bir kafa işçisinin , sanatçının , bilim_adamının düşünmek için bol bol zamana ihtiyacı vardır .","bir kafa_işçisinin , sanatçının , bilim_adamının düşünmek için bol_bol zamana ihtiyacı vardır .","kafa_işçisinin, bol_bol"
"bir kafa işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır .","bir kafa_işçisinin , sanatçının , bilim adamının düşünmek için bol bol zamana ihtiyacı vardır .","bir kafa_işçisinin , sanatçının , bilim_adamının düşünmek için bol_bol zamana ihtiyacı vardır .","bilim_adamının, bol_bol"
"masa başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o kadar .","masa_başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o kadar .","masa_başında hizmet ederken erkeklik falan yok , kamarotsun , kamarot erkeklik taslayacak değil , işini bilecek , o_kadar .",o_kadar
bu genç bir deveydi .,bu genç bir deveydi .,bu genç bir_deveydi .,bir_deveydi
beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .,beni öyle bir dinlenme_kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .,beni öyle bir dinlenme_kampına alsınlar ki kapıdan girerken kimlik_kartımla birlikte kişiliğimi de kapıda bırakayım .,kimlik_kartımla
beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik kartımla birlikte kişiliğimi de kapıda bırakayım .,beni öyle bir dinlenme kampına alsınlar ki kapıdan girerken kimlik_kartımla birlikte kişiliğimi de kapıda bırakayım .,beni öyle bir dinlenme_kampına alsınlar ki kapıdan girerken kimlik_kartımla birlikte kişiliğimi de kapıda bırakayım .,dinlenme_kampına
"çantasından çok sayfalı , maroken kaplı küçük bir defter çıkardı .","çantasından çok sayfalı , maroken kaplı küçük bir defter çıkardı .","çantasından çok sayfalı , maroken kaplı küçük bir_defter çıkardı .",bir_defter
bu kara ağızlıların yüzde yüz sahteci ve yalancı olduklarını bilir .,bu kara_ağızlıların yüzde yüz sahteci ve yalancı olduklarını bilir .,bu kara_ağızlıların yüzde_yüz sahteci ve yalancı olduklarını bilir .,yüzde_yüz
ayın aksi içinden bir karartı geçiyordu .,ayın aksi içinden bir karartı geçiyordu .,ayın aksi içinden bir_karartı geçiyordu .,bir_karartı
sırtında i̇ngiliz kumaşından karyağdılı mükemmel bir elbise .,sırtında i̇ngiliz kumaşından karyağdılı mükemmel bir elbise .,sırtında i ngiliz kumaşından karyağdılı mükemmel bir_elbise .,bir_elbise
"biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek_zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek_zamanlara doğru_yollarımızı tıkayan aşılmaz setleri yıkamazdık .",doğru_yollarımızı
"biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek zamanlara doğru_yollarımızı tıkayan aşılmaz setleri yıkamazdık .","biz 1923'te bir mustafa kemal'e kavuşmasaydık , gelecek_zamanlara doğru_yollarımızı tıkayan aşılmaz setleri yıkamazdık .",gelecek_zamanlara
irmak aşağıda bir yandan kayalığın üzerine şarıl şarıl boşanıyor .,irmak aşağıda bir_yandan kayalığın üzerine şarıl şarıl boşanıyor .,irmak aşağıda bir_yandan kayalığın üzerine şarıl_şarıl boşanıyor .,şarıl_şarıl
"ben büyüyünce uzun boylu , ince endamlı , kaytan bıyıklı bir delikanlı olmak ve hep öyle kalmak emelindeydim .","ben büyüyünce uzun boylu , ince endamlı , kaytan bıyıklı bir delikanlı olmak ve hep öyle kalmak emelindeydim .","ben büyüyünce uzun_boylu , ince endamlı , kaytan_bıyıklı bir_delikanlı olmak ve hep öyle kalmak emelindeydim .","kaytan_bıyıklı, bir_delikanlı, uzun_boylu"
kazasız bir yolculuk .,kazasız bir yolculuk .,kazasız bir_yolculuk .,bir_yolculuk
oracıkta kelimesiz bir anlaşma ile ana oğul birbirimizin kolları arasına yığıldık .,oracıkta kelimesiz bir anlaşma ile ana oğul birbirimizin kolları arasına yığıldık .,oracıkta kelimesiz bir_anlaşma ile ana oğul birbirimizin kolları arasına yığıldık .,bir_anlaşma
"ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .","ne olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .","ne_olacaksa olur ve her hâlde bu millet , ölümden beter bir keşmekeşten kurtulur .",ne_olacaksa
yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?,yoksa keten helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i̇stanbul'da ?,yoksa keten_helvacıların bir masalda olduğu gibi bir beytine bir kese altın verecek sultanlar mı hâlâ i stanbul'da ?,keten_helvacıların
kıyak bir koşu atı .,kıyak bir koşu_atı .,kıyak bir_koşu atı .,bir_koşu
bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir_delikanlıyla flört edince hemen adınız dolaşmaya başlardı ortalıkta .,bir_delikanlıyla
"bu seferler , bu at koşturmalar beyhude değil .","bu seferler , bu at koşturmalar beyhude değil .","bu_seferler , bu at koşturmalar beyhude değil .",bu_seferler
"onu , ondan kendine kattıklarıyla köklü bir değişime uğratmayı amaçlıyor .","onu , ondan kendine kattıklarıyla köklü bir değişime uğratmayı amaçlıyor .","onu , ondan kendine kattıklarıyla köklü bir_değişime uğratmayı amaçlıyor .",bir_değişime
"i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz karasıydılar .","i̇hsan bekleyen bu çanak yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz_karasıydılar .","i hsan bekleyen bu çanak_yalayıcı , bu jurnalci yaratıklar köpeklik tarihinin yüz_karasıydılar .",çanak_yalayıcı
"firuzağa'da şirin , kutu gibi , manzarası çok kral bir çatı katına taşındı .","firuzağa'da şirin , kutu gibi , manzarası çok kral bir çatı_katına taşındı .","firuzağa'da şirin , kutu_gibi , manzarası çok kral bir çatı_katına taşındı .",kutu_gibi
başına kenarları yeşil oyalı mor bir gaz boyaması krep bağlıyordu .,başına kenarları yeşil_oyalı mor bir gaz boyaması krep bağlıyordu .,başına kenarları yeşil_oyalı mor bir gaz_boyaması krep bağlıyordu .,gaz_boyaması
kuru bir anlatım .,kuru bir anlatım .,kuru bir_anlatım .,bir_anlatım
küçük hanımların bayram hediyesi zevklerinin bütün incelikleriyle uygun olacaktır .,küçük_hanımların bayram hediyesi zevklerinin bütün incelikleriyle uygun olacaktır .,küçük_hanımların bayram_hediyesi zevklerinin bütün incelikleriyle uygun olacaktır .,bayram_hediyesi
kız kardeşi nazime'yi yaşlı bir liman reisi istedi .,kız_kardeşi nazime'yi yaşlı bir liman reisi istedi .,kız_kardeşi nazime'yi yaşlı bir liman_reisi istedi .,liman_reisi
kim demiş onu diye arsız arsız sırıtmış ve lüks mevkiye doğru yürümüş .,kim demiş onu diye arsız arsız sırıtmış ve lüks_mevkiye doğru yürümüş .,kim demiş onu diye arsız_arsız sırıtmış ve lüks_mevkiye doğru yürümüş .,arsız_arsız
"odanın bir köşesinde , mahmurlaşmış gözleriyle bir annelerine , bir bana bakıyorlardı .","odanın bir köşesinde , mahmurlaşmış gözleriyle bir annelerine , bir bana_bakıyorlardı .","odanın bir köşesinde , mahmurlaşmış gözleriyle bir_annelerine , bir bana_bakıyorlardı .",bir_annelerine
"tarlasında , maktul bulunmuş bir çiftçiyi muayene etmiş , rapor vermiştim .","tarlasında , maktul bulunmuş bir çiftçiyi muayene etmiş , rapor vermiştim .","tarlasında , maktul bulunmuş bir_çiftçiyi muayene etmiş , rapor vermiştim .",bir_çiftçiyi
